SUMLEV,NAME,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022
10,United States,894123,3582436,3688179,852024,3438423,3443099
20,Northeast Region,146120,572782,593222,192891,560931,564007
30,New England,35417,139206,146423,46182,143894,149549
30,Middle Atlantic,110703,433576,446799,146709,417037,414458
20,Midwest Region,190131,747700,759934,186324,761965,768572
30,East North Central,127378,500167,508030,133459,529543,535923
30,West North Central,62753,247533,251904,52865,232422,232649
20,South Region,348206,1425940,1476296,314775,1403963,1406198
30,South Atlantic,172099,699565,727568,168663,727277,738452
30,East South Central,54200,222808,227806,56664,258082,258921
30,West South Central,121907,503567,520922,89448,418604,408825
20,West Region,209666,836014,858727,158034,711564,704322
30,Mountain,68918,276639,283386,54872,241602,249091
30,Pacific,140748,559375,575341,103162,469962,455231
40,Alabama,13867,57112,58280,15165,69056,66870
40,Alaska,2406,9461,9488,1163,5364,6396
40,Arizona,18110,75384,78763,18030,80430,79329
40,Arkansas,8508,35115,36251,8493,40174,40187
40,California,103123,412194,424652,74463,345550,318497
40,Colorado,15589,62064,63086,11904,46644,49381
40,Connecticut,8465,33896,35818,11915,34649,34902
40,Delaware,2579,10220,10744,2950,11230,11462
40,District of Columbia,2187,8304,8096,2005,5832,5556
40,Florida,50292,207964,220578,56302,250785,260794
40,Georgia,29842,121391,125538,24818,109531,109357
40,Hawaii,3835,15518,15788,2838,12133,13328
40,Idaho,5467,21872,22524,3628,17084,18838
40,Illinois,33454,131658,131491,35347,128282,126625
40,Indiana,19443,77543,80214,19156,77603,79190
40,Iowa,9103,36021,36928,8074,35560,35369
40,Kansas,8510,34281,34968,6990,32746,32960
40,Kentucky,12580,51453,52496,12816,58285,60854
40,Louisiana,13555,57123,57152,14831,56590,55995
40,Maine,2997,11580,12030,3713,16100,17973
40,Maryland,17156,67441,69130,16908,58911,57567
40,Massachusetts,17112,66541,70019,22124,61675,63716
40,Michigan,26586,102739,105157,31049,115020,117639
40,Minnesota,16461,63068,64821,12756,51473,53204
40,Mississippi,8503,34972,35060,9743,41379,40014
40,Missouri,17238,68778,69255,16792,75425,75249
40,Montana,2812,10806,11173,2527,12115,12859
40,Nebraska,6046,24260,24376,4472,19535,19271
40,Nevada,8166,33289,33784,7016,32428,33392
40,New Hampshire,2994,12107,12670,3477,13693,14700
40,New Jersey,24719,97795,102555,33957,84110,82804
40,New Mexico,5328,21322,20955,5509,24691,25250
40,New York,53083,205802,212145,72523,177143,176534
40,North Carolina,28675,116827,122179,25879,115142,115720
40,North Dakota,2563,10058,10164,1758,7816,7365
40,Ohio,32341,128220,129529,33744,146833,149072
40,Oklahoma,11579,47369,48107,10380,50720,51390
40,Oregon,10280,39736,41143,9533,41956,46232
40,Pennsylvania,32901,129979,132099,40229,155784,155120
40,Rhode Island,2546,10013,10544,3388,11348,11110
40,South Carolina,13492,55591,57071,14077,65128,64531
40,South Dakota,2832,11067,11392,2023,9867,9231
40,Tennessee,19250,79271,81970,18940,89362,91183
40,Texas,88265,363960,379412,55744,271120,261253
40,Utah,11862,45745,46912,4958,22016,23363
40,Vermont,1303,5069,5342,1565,6429,7148
40,Virginia,23580,94523,96748,19817,83281,83823
40,Washington,21104,82466,84270,15165,64959,70778
40,West Virginia,4296,17304,17484,5907,27437,29642
40,Wisconsin,15554,60007,61639,14163,61805,63397
40,Wyoming,1584,6157,6189,1300,6194,6679
40,Puerto Rico,4545,18794,19645,7301,33341,34102
